id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,is_bad
08bb959239dc66bc,"""Archive 8: February 2010 - November 2010

 The Wikipedia Signpost: 15 February 2010 

Read this Signpost in full · Single-page · Unsubscribe ·   

 The Wikipedia Signpost: 22 February 2010 

Read this Signpost in full · Single-page · Unsubscribe ·   

 The Wikipedia Signpost: 1 March 2010 

Read this Signpost in full · Single-page · Unsubscribe ·   

 The Wikipedia Signpost: 8 March 2010 

Read this Signpost in full · Single-page · Unsubscribe ·   

 The Wikipedia Signpost: 15 March 2010 

Read this Signpost in full · Single-page · Unsubscribe ·   

 The Wikipedia Signpost: 22 March 2010 

Read this Signpost in full · Single-page · Unsubscribe ·   

= The Wikipedia Signpost: 29 March 2010",0,0,0,0,0,0,False
b45b4a022ddc3fa8,"""
About your """"border skirmishes"""" and """"possibility of a ground intervention"""": I never spoke about that. When there already was a Saudi-led invasion taking place, you could not argue the way you are doing anyway. I even did not speak about """"Yemeni Fighters Trained in Persian Gulf"""" or something like that. I'm generally talking about the whole Saudi-led intervention (or: """"intervention phase of the 2015 Yemeni conflict"""") in historic sense with all its features.
Yes """"slowly"""" I got it, that you just don't use the meaning of the term """"military intervention"""" correctly. This term doesn't mean just the operations performed by one side (maybe you are changing Wikipedia encyclopedia with a military gazette?), but it addresses to a form of international conflict. Military intervention is """"Interference by a state in another’s affairs"""" by military means. That means that both - the operations of the intervening powers and the domestic operations are intermingled. Anyway there are domestic reactions to the intervention. And you'll find no historic literature, that tries to separate them, because exactly this is the character of an intervention. Every singly source dealing with the military intervention in Yemen 2015 deals with both, the foreign intervention operation and the existing ground fightings of the domestic conflict. Still you did not provide a single source that claims, they do not belong together. It is your"""""""" to treat them as separate topics and historic events. Greetings,  """,0,0,0,0,0,0,False
95885b8727998e5f,"Please stop. If you continue to vandalize Wikipedia, as you did to South Africa, you will be blocked from editing.",0,0,0,0,0,0,False
32bb590abcffa9da,"""
I thought that bit was the most agreeable part. All kidding aside: People who would lose all respect for someone else based on one outburst deserve no respect themselves in turn (i.e. """"outburst"""" doesn't include going on an RL killling spree or the like of course). I'm still that same guy, sometimes full of shit (includes humor), sometimes with some or even much professional attitude. Maybe I needed it. Maybe not. I like to think that I had to get out some things. And since I'm not the least bit interested in joining WR or another of those places, I had to do it here. And instead of doing it latently, I now got all that out of my system in one outburst. You see, when I usually comment e.g. on what I perceive as a bad-faith RfA oppose, I was constantly holding back, trying to stick to the rules (most of the time anyway). But that sticking to the rules is a rotten """"primary directive"""", and calling spade spade is even more necessary, because it's simply more accurate. And to do it in the form of an alc-induced (or rather, triggered) outburst affords a good option for everyone to ignore the content of what I said, as opposed to constantly complaining about this editor or that comment.

On the other hand: The way things turned out on my initial (very civil, let's not forget that!) posting to AN/I was yet another clear message of how cronyism rules the upper echelons. — Dorftrottel⁠ """,0,0,0,0,0,0,False
28035dd28d584ec7,"""

Spellings
Ah, good question - there's quite a few (doubtless a result of the European tongue trying to wrap itself around asian words). Francois Bernier spelt it """"Tage Mehale"""" other alternatives might be """"Tadj Mahal"""" (Chaghtai writing in french), as recently as Bannister Fletcher I think it was spelt """"Tag Mahal"""". There was a British East India company employee who witnessed the construction called Peter Mundy  who described it, I think as """"Tage Mehele"""" There's some more - I'll get back to you tonight when I've got my books with me.  """,0,0,0,0,0,0,False
825fb3e0c34aceee,"Article incubation 

Hi. I notice that your article, Temesgen was moved out of the encyclopedia and into your user space. If you don't object, I would like to move this article to the Wikipedia:Article Incubator, a new project that facilitates the development of articles up to Wikipedia standards without being under some threat of deletion.  What I'm proposing is this: I will move",0,0,0,0,0,0,False
4e3a44a5f4018283,"""

Be lenient on Topory aka Piotr Parda. He is an honest guy. These images are
intended for the Polish Wikipedia. I guess.

It's completely fine if they are for the Polish Wikipedia  there is just no easy way to find this out unless people state this in their uploads. Simply saying """"Polska Wikipedia"""" would be clear enough for me to take at face value. mav""",0,0,0,0,0,0,False
ba693c04f417b233,I was exprimenting with humour and format.,0,0,0,0,0,0,False
445d241dddfe35f7,"""

 3RR 

Touche, you're right on that one. ) _Monitor """,0,0,0,0,0,0,False
d83dcf21017fd58d,"I'm surprised that an all-powerful, high-earning admin would need the help of a serf, but things never surprise me anymore. ;)These pages all violate WP:NOTWEBHOST and your suggestion of a mass nomination is sound. I've nominated them all for deletion at Wikipedia:Miscellany for deletion/User:Christianity922's pages.",0,0,0,0,0,0,False
5d4b505c1839735f,"Uma Thurman 

Hello, Noreplyhaha! If you'd like to make a case for undoing my edits to the Uma Thurman entry, I'd love to know what your reasons are. I think my edits are all justified for the reasons I stated in the comments, and I will be re-entering them unless there is an important reason not to.",0,0,0,0,0,0,False
18ffef6411d48228,"my premier mattaw the revitilize chairman 

a good job to de mattaw villani, the chairman and constructor of the gay rights and downtown revitilize projecto of altoona, pa, ariba and thankyou de mattsy",0,0,0,0,0,0,False
1180f0f1891e1dd8,"Point taken.  But Keeper, you are the one who originally admonished me for getting involved in issues that I was not directly connected to.  Islander and I have our own history. It looks as though, had you not responded - I'd be listening to crickets here; as Islander is sticking to his normal communication pattern.  So, in that - thanks.  72.92.4.157",0,0,0,0,0,0,False
6037b378826bd2bb,So Richard Halliburton's homosexuality is rather clear.,0,0,0,0,0,0,False
32023a9cbdc304ae,"""

I just tried editing the article but my changes were not accepted. I wasn't sure where to """"appeal"""". The information on the current article is incorrect, contradictory and should be corrected. Please let me know how I should go about doing this. 218.186.17.237  """,0,0,0,0,0,0,False
134dcf0270b4e544,"""

Speedy deletion of Phai thach
 A tag has been placed on Phai thach requesting that it be speedily deleted from Wikipedia. This has been done under section A7 of the criteria for speedy deletion, because the article appears to be about a person or group of people, but it does not indicate how or why the subject is notable: that is, why an article about that subject should be included in an encyclopedia. Under the criteria for speedy deletion, articles that do not indicate the subject's importance or significance may be deleted at any time. Please see the guidelines for what is generally accepted as notable, as well as our subject-specific notability guideline for biographies. 

If you think that this notice was placed here in error, you may contest the deletion by adding  to the top of the page (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would would render it more in conformance with Wikipedia's policies and guidelines.     """,0,0,0,0,0,0,False
cc5230047d911c9a,"Welcome to Wikipedia. The recent edit you made to Mr. Midshipman Hornblower has been reverted, as it appears to be unconstructive. Use the sandbox for testing; if you believe the edit was constructive, ensure that you provide an informative edit summary. You may also wish to read the introduction to editing. Thank you.",0,0,0,0,0,0,False
7dd976bcb3ea3f0c,"WP:WIAN says that Microsoft Encarta should be used as a reference.  Encarta was discontinued five years ago.  Also, WP:WIAN says that sources must be modern.  Twenty-year-old atlases are not modern.",0,0,0,0,0,0,False
6462a13fd96748ef,Just for make sure ;),0,0,0,0,0,0,False
b78145a5715f0825,"User talk:67.160.251.14 

I find MONGO's input to be annoying. Get rid of hiim.",0,0,0,0,0,0,False
